Blog	months	soon	does	put	times	coming	hours	same	nice	family	once	able	yes	yet	whole	live	give	try	man	bad	morning	wanted	full	without	job	play	friend	someone	least	ago	told	making	together	doesn	believe	far	past	during	might	free	music	makes	point	later	keep	nbsp	already	beautiful	its	stop	until	quite	saw	different	kids	stuff	thanks	room	remember	read	crazy	watch	side	girl	almost	picture	kind	person	call	heart	weeks	mean	taking	won	guess	name	nothing	mind	called	working	small	amazing	change	real	used	head	hear	decided	happened	wait	book	sometimes	hand	set	fact	check	asked	three	children	must	story	wasn	run	isn	behind	leave	open	car	seen	seems	summer	wrong	couple	video	month	pictures	lost	goes	else	idea	god	use	high	trip	baby	stay	amp	half	excited	face	talk	knew	mom	song	boy	short	gone	reading	looks	top	cool	thinking	living	yesterday	playing	party	weekend	interesting	felt	late	moment	spent	money	watching	second	along	haven	probably	saying	lots	turned	hour	funny	comes	anyway	christmas	care	wish	under	instead	couldn	thank	water	words	special	gave	fall	enjoy	rest	running	birthday	white	waiting	ones	feeling	ended	wonder	turn	food	black	talking	awesome	city	heard	happen	between	anyone	eyes	gets	hot	busy	learn	guy	ask	girls	inside	loved	boys	favorite	write	tried	whatever	group	especially	please	needed	perfect	close	however	dinner	sweet	cold	moved	sunday	move	reason	ready	knows	walk	break	early	dad	says	tonight	tomorrow	list	rather	possible	seeing	cute	fast	four	young	true	taken	wonderful	hands	either	outside	miss	definitely	super	others	loves	sleep	moving	parents	sorry	hair	saturday	town	bring	means	important	class	easy	sad	age	front	line	com	bed	matter	guys	totally	spend	looked	country	worked	body	game	seem	less	chance	share	often	phone	writing	hit	wants	experience	huge	worth	update	yeah	lives	news	bought	buy	woman	due	usually	park	although	light	played	movie	sound	needs	self	listen	child	sister	starting	minutes	project	church	band	enjoyed	eat	kid	mother	etc	event	women	seriously	company	become	american	cause	met	across	entire	future	imagine	number	plan	red	several	mine	against	walking	wouldn	five	facebook	feels	meet	visit	sitting	case	friday	shows	forward	hate	air	completely	rock	single	given	word	yourself	ride	final	exactly	fine	sort	longer	quick	door	books	problem	men	deal	joy	date	pick	sense	kept	store	understand	center	random	table	large	photo	album	cannot	lol	takes	dream	sounds	finished	stand	glad	sit	alone	business	state	piece	minute	realized	using	http	father	cut	blue	hopefully	stuck	proud	version	okay	april	weather	walked	giving	works	songs	support	death	spring	within	based	street	simple	july	wall	brought	note	upon	dance	answer	forget	serious	brother	ways	passed	paper	evening	telling	afternoon	figure	wrote	leaving	finish	middle	recently	sign	dark	hey	gonna	meant	beach	forever	listening	quickly	complete	hoping	building	headed	normal	pay	road	view	following	watched	lately	born	turns	learned	camera	august	beginning	happens	team	information	sent	stage	lady	strong	march	halloween	www	themselves	drive	october	site	dog	games	plus	known	tired	hold	smile	currently	monday	office	learning	eating	track	catch
My Photography Voyage	0	0	0	0	1	0	1	0	1	0	0	1	2	0	0	1	1	0	0	1	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	7	1	5	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0
THE SMITH SNAPSHOT	2	0	2	3	1	3	3	3	2	14	2	3	1	1	0	1	0	1	3	0	5	1	2	1	2	1	4	0	0	4	1	1	0	0	1	0	2	2	1	1	0	0	0	0	1	0	3	3	2	1	1	0	2	1	5	0	4	3	1	5	1	0	4	4	1	2	1	0	2	1	3	1	0	1	0	1	1	0	2	1	12	7	2	0	1	1	1	2	0	2	3	0	0	6	0	0	0	3	4	0	2	0	1	0	0	0	1	1	2	1	6	0	2	1	1	2	0	2	0	0	9	1	1	2	11	0	3	0	1	6	0	3	1	2	3	1	1	7	0	0	0	1	1	0	6	1	4	0	0	0	2	1	0	3	1	0	0	0	2	2	2	2	1	0	1	10	1	1	2	1	2	5	5	0	1	0	4	5	0	0	0	0	0	3	1	0	1	0	1	0	2	1	1	1	1	1	0	1	1	0	1	0	1	0	5	1	6	2	5	0	1	0	5	1	1	2	1	2	0	1	2	2	0	0	0	0	2	0	3	1	2	1	0	0	0	0	0	0	2	2	1	1	0	1	1	5	1	0	3	0	0	0	1	12	4	1	2	4	3	0	0	1	0	0	1	0	0	1	1	2	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	4	0	1	4	0	0	1	0	1	0	0	4	8	1	1	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	1	2	3	0	0	0	0	0	1	0	1	1	1	4	0	0	0	1	0	1	0	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	2	0	0	0	2	0	2	0	0	0	0	1	0	1	1	2	1	0	0	0	0	1	2	0	0	2	0	0	0	1	1	0	0	0	2	0	3	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	2	2	0	0	0	1	4	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	4	0	1
Tonya's Blog	0	2	2	9	0	2	2	1	4	5	1	1	0	1	1	1	0	2	2	0	1	4	3	1	2	3	5	4	2	2	1	1	8	1	0	3	0	7	7	0	1	1	8	2	0	513	2	2	0	5	4	1	3	0	7	0	10	0	2	4	1	2	0	5	0	8	2	2	2	2	1	1	4	2	2	0	0	0	0	0	1	2	0	2	2	2	1	1	2	0	2	0	6	5	3	2	4	2	4	1	0	1	5	5	1	0	0	3	1	2	1	2	2	0	0	2	7	3	0	1	7	1	0	6	2	1	4	3	2	3	1	1	5	1	0	1	0	3	2	1	0	2	1	0	1	4	1	0	2	2	1	1	2	3	3	1	1	3	1	0	4	1	1	0	0	0	3	3	0	2	4	0	2	2	5	4	0	1	3	5	7	1	3	0	3	4	0	3	0	0	0	1	1	1	2	2	0	0	1	2	1	1	3	5	2	1	0	1	2	3	0	0	4	0	0	4	1	1	0	2	2	0	0	1	0	2	4	1	3	5	4	0	5	3	1	0	0	0	0	6	0	0	0	1	4	0	2	1	1	3	1	1	1	2	0	1	2	1	4	0	1	1	1	0	5	0	0	0	2	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	2	0	0	0	0	0	1	1	0	0	0	2	1	0	2	2	0	1	2	0	0	2	2	1	0	1	0	1	3	2	1	0	1	3	1	3	0	0	1	0	0	4	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	4	1	0	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	0	2	0	1	1	1	0	0	0	3	2	0	1	0	0	2	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	4	1	2	0	0	0	0	0	1	0	0	1	0	3	1	1	0	3	0	2	0	0	3	3	0	1	1	0	4	0	0	0	0	0	0	1	0	0	3	0	1	2	3	1	0	0	0	0	0	2	1	1	1	0	1	11	0	0	0	1	1	0	0	1	3	3	0	3	0	1	3	1	2	0	0	0	2	1	2	0	0	1	0	0	1	4	0	0	0	6	0	0	1	1	0	4	0	0	0	2	2	2	0	1	0	0	0	1	0
With Faith & a Promise	4	7	1	2	0	3	4	4	1	30	0	2	1	3	0	3	1	2	1	3	7	3	3	6	2	3	2	1	2	2	1	2	7	0	2	5	2	4	1	0	3	1	2	4	2	0	6	6	0	2	6	4	6	4	5	4	4	2	1	4	1	1	3	4	7	2	4	1	2	4	6	1	5	1	1	2	2	3	7	1	4	4	2	2	0	2	0	8	1	4	4	2	2	2	2	3	2	7	6	3	10	6	0	3	2	1	0	1	5	1	0	0	4	1	5	2	1	1	0	1	17	3	3	3	26	0	51	1	4	3	2	6	11	0	3	4	5	2	2	0	1	1	1	1	1	5	1	0	6	1	3	3	1	1	1	3	3	1	2	6	2	3	0	1	5	12	1	1	0	0	6	10	0	3	1	3	1	1	4	0	15	1	3	0	2	6	2	1	1	0	1	3	0	1	1	1	1	0	1	3	1	0	1	4	1	2	0	0	1	9	2	3	0	2	3	1	3	0	5	5	5	3	6	3	2	1	2	1	0	1	0	3	0	0	4	0	0	2	2	3	0	6	0	2	0	5	0	1	1	2	1	0	0	2	0	4	1	2	0	3	3	3	1	1	2	0	0	2	0	0	2	1	2	2	2	0	2	0	0	2	3	1	0	0	2	4	0	5	1	2	6	0	0	4	3	2	8	0	0	1	1	0	0	2	1	4	1	2	0	0	0	6	1	1	1	1	0	0	2	3	0	0	4	0	1	0	0	0	0	3	3	0	1	2	0	4	6	0	1	1	2	0	0	1	1	0	3	4	0	1	1	1	4	0	0	1	0	1	0	0	0	1	3	2	2	0	0	1	0	1	2	0	0	2	1	0	0	3	3	1	1	0	0	0	1	0	4	0	1	3	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	4	0	1	2	2	3	2	0	2	0	0	0	2	0	1	1	0	0	1	1	3	1	2	0	1	2	0	1	2	2	0	5	1	0	1	0	0	0	1	0	0	0	0	3	1	3	2	0	1	2	2	0	1	1	0	2	0	0	4	0	1	2	2	2	1	3	0	1	0	2	2	0	0	5	0	1	1	0	2	0	1	0	1	1	0	2	0	2	2	0	0	0	1	3
Proud to be GEEK	1	1	0	0	0	1	0	2	4	0	2	1	8	0	0	1	0	0	0	3	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	7	0	0	0	1	1	0	0	0	0	3	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	4	0	0	0	1	0	4	0	1	1	0	0	7	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	6	1	1	0	3	0	0	1	1	0	1	1	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Happy Little Things	96	9	10	25	14	6	21	9	3	33	14	18	2	6	8	2	15	16	5	15	13	33	10	15	3	9	7	9	4	4	52	6	9	18	8	6	4	24	18	3	1	8	8	20	15	3040	17	8	26	3	17	4	15	9	11	5	3	27	3	7	6	9	19	22	5	18	9	10	17	9	32	6	15	0	9	6	21	5	44	10	12	15	14	3	11	28	7	19	11	22	6	5	9	6	2	15	18	2	39	4	13	25	19	2	12	6	4	15	11	4	0	6	18	7	39	17	6	5	2	6	39	7	6	10	43	5	1	12	13	5	9	26	19	1	4	14	10	6	6	3	0	10	4	2	19	18	4	1	19	2	9	7	3	4	5	4	1	13	5	10	12	9	5	4	6	45	20	4	7	3	30	23	7	2	4	12	6	5	5	14	23	4	16	2	13	6	3	4	6	1	8	3	0	7	2	17	6	10	2	2	6	3	3	8	10	0	6	0	7	6	12	4	7	8	4	28	9	8	7	11	10	9	3	11	11	2	11	5	6	14	14	9	6	0	5	2	0	25	4	2	8	0	4	0	10	13	4	4	3	3	4	3	3	10	20	7	11	4	8	9	2	6	8	7	2	6	2	6	4	6	1	5	3	2	6	6	24	0	4	9	0	4	12	17	7	20	9	2	3	7	12	9	3	5	2	6	13	1	2	1	9	5	19	5	6	4	1	4	6	1	0	33	15	4	14	0	9	3	4	8	1	9	8	2	4	3	3	6	0	14	6	6	3	8	2	6	11	4	11	1	2	3	11	1	5	4	9	9	3	7	9	6	7	4	0	8	1	2	8	1	1	7	3	10	10	2	7	0	5	2	8	2	4	4	1	1	5	10	3	2	28	2	2	5	3	0	1	13	2	1	7	8	4	1	6	4	1	4	0	5	2	6	1	4	4	7	4	1	3	0	0	13	2	1	3	5	0	9	4	2	8	5	5	1	6	0	5	1	0	0	3	3	4	1	10	4	2	0	12	5	5	5	5	7	11	0	3	4	4	1	8	2	4	1	5	3	2	1	5	24	2	0	2	4	5	0	13	1	5	3	0	2	1	6	5	11	1	3	7	6	6	1	2	6	9	1	0	0	3	8	7	11	3	1	6	8	5	6	4	4
Inside Amy's World	0	2	5	10	1	2	4	0	1	7	3	5	1	2	3	0	4	3	5	2	2	4	3	6	0	4	1	2	2	1	3	4	3	5	3	2	0	5	3	3	4	9	2	2	6	339	1	1	0	3	4	4	4	1	15	2	1	0	1	1	0	6	1	0	5	7	1	0	3	4	5	1	7	0	2	3	3	0	12	3	4	4	1	3	2	5	2	6	1	2	11	0	1	0	1	5	3	4	12	3	4	4	2	0	1	1	0	4	1	4	8	2	5	3	5	12	0	8	4	2	3	1	3	4	1	3	0	0	6	9	1	0	3	0	7	1	4	2	8	3	3	1	1	9	1	13	3	3	1	1	1	5	2	0	3	1	4	0	2	2	0	3	5	0	1	0	4	3	3	2	6	3	1	0	11	2	3	1	2	1	3	1	1	0	5	3	2	2	2	0	2	8	0	1	5	0	0	2	6	1	2	3	2	1	0	1	3	1	7	1	3	1	3	0	0	1	1	0	2	0	1	3	1	3	0	0	2	0	1	2	6	1	1	2	2	0	1	0	3	3	1	0	2	0	1	4	0	0	3	1	1	3	3	3	7	0	3	1	1	2	3	0	0	0	3	2	2	0	1	0	11	1	0	0	6	1	1	0	1	5	2	1	4	2	5	0	1	3	2	2	1	3	0	0	0	1	4	4	0	0	0	1	3	0	0	2	0	3	10	0	1	4	2	1	5	0	2	1	1	1	7	0	4	1	0	3	0	1	0	0	2	0	1	0	4	0	1	0	2	0	0	0	0	1	7	1	5	3	1	0	4	4	0	1	2	1	0	0	3	0	0	1	0	0	4	0	2	3	0	2	0	0	3	1	0	0	1	1	1	1	6	0	2	2	0	0	1	1	3	0	2	0	0	1	1	0	0	0	2	1	0	7	8	1	0	0	1	0	1	1	0	1	4	0	3	1	0	0	0	3	0	0	2	2	3	0	0	0	1	0	0	0	0	2	1	0	1	1	2	5	4	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	2	1	0	0	0	2	2	4	0	1	2	3	3	0	0	0	1	2	1	0	0	2	7	6	0	1	0	0	0	0	0	1	2	0	0	1	4	1	0	1	1	0
Accounting For My Life	1	1	1	4	1	1	2	6	2	10	2	8	1	3	2	0	3	2	1	2	6	5	0	2	1	6	5	2	0	0	2	2	12	2	2	2	1	5	2	3	4	0	2	4	4	119	0	2	1	3	1	1	3	3	9	1	0	1	0	2	3	1	0	0	4	7	3	1	2	4	2	0	0	2	0	0	0	2	1	0	3	1	1	1	0	1	2	4	2	0	1	0	1	2	1	1	2	1	2	0	1	1	0	0	2	1	2	3	1	1	1	0	0	0	5	3	1	1	1	3	0	0	4	5	0	2	3	3	2	1	2	2	1	1	2	3	1	2	1	2	1	0	0	0	2	0	3	0	2	5	0	2	2	3	2	3	1	4	3	3	1	1	1	0	0	0	0	4	0	1	4	2	0	1	1	1	6	1	0	1	0	2	0	2	1	3	0	0	2	2	3	3	5	2	0	0	0	0	2	1	1	0	2	3	1	1	1	23	7	1	2	0	4	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	4	1	1	0	0	2	0	0	2	0	2	3	1	1	2	0	2	1	1	0	1	0	4	3	1	5	0	2	1	0	1	1	3	0	0	0	6	0	0	2	5	4	0	0	0	2	1	0	1	0	1	0	8	0	1	2	0	2	0	0	0	1	3	1	2	0	0	0	0	1	1	0	0	3	0	0	1	2	0	1	2	0	0	1	0	2	0	0	2	0	0	3	1	0	2	5	1	0	1	1	0	0	1	3	2	1	0	2	0	1	3	0	1	3	0	2	0	1	0	2	1	0	1	0	2	0	0	1	1	0	0	0	0	0	2	1	0	1	1	2	3	0	1	0	0	1	0	5	1	3	0	0	2	2	1	0	5	0	1	0	0	0	0	1	1	3	5	0	1	2	1	2	4	0	0	0	1	1	0	0	1	0	0	0	2	2	1	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	0	3	0	4	0	0	0	0	4	0	1	0	1	0	0	0	2	2	4	1	1	4	2	0	1	0	0	1	2	0	0	1	0	0	0	2	0	1	0	0	6	0	0	0	8	0	1	1	4	0	1	5	2	3	0	0	0	0	2	1	0	0	0	2
Chris Gunter: The Weblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fled.The.Scene.	1	2	0	1	4	4	1	0	0	3	0	2	0	5	0	32	0	0	1	0	0	1	4	0	0	0	4	0	0	1	0	0	0	0	0	3	2	0	0	16	17	0	0	3	0	0	0	8	1	0	1	0	0	1	5	2	1	0	0	0	3	4	10	0	0	0	1	0	0	0	2	1	1	2	0	3	0	0	2	0	0	4	0	1	4	2	4	0	0	1	0	0	3	9	0	4	0	1	2	0	5	0	0	0	3	0	7	0	0	0	3	0	0	10	1	2	4	0	4	0	0	2	3	2	3	3	36	0	0	0	1	0	0	5	0	0	1	0	0	3	2	1	4	1	3	1	0	0	0	1	0	0	6	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	2	7	0	6	2	0	0	0	0	0	1	0	0	0	0	0	7	1	1	1	2	0	4	0	4	0	15	2	0	1	0	4	2	0	6	0	0	0	0	5	3	1	1	0	0	1	0	2	0	0	4	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	5	2	1	1	0	9	1	1	0	2	0	1	1	0	0	0	3	0	1	0	1	1	0	0	1	0	2	1	12	0	0	0	0	0	0	0	3	1	0	1	1	1	0	0	0	0	0	3	0	0	1	0	1	7	1	3	0	5	0	0	0	1	0	1	1	0	8	0	3	3	2	0	4	0	0	1	14	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	4	6	0	0	4	0	0	10	0	0	1	0	0	0	3	3	1	0	1	0	247	8	0	0	1	0	0	0	1	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	4	0	1	0	0	0	0	0	5	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	1	0	7	2	0	0	2	0	1	23	0	0	0	2	13	0	1	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	1	0	3	1	0	0	1	1	0	0	0	6	1	1	0	8	0	0	0	5	0	0	0	0	2	1	1	0	0	1	0	0	0	0	4	0	0	0	0	55	1
The Blog Home of Daniel	1	3	0	1	6	1	1	2	0	0	1	2	6	1	4	2	11	1	2	0	0	1	0	4	9	9	1	5	0	1	0	4	1	0	0	3	4	0	2	4	9	3	2	1	6	0	6	0	0	0	4	1	0	0	2	3	2	1	2	1	1	4	0	3	0	0	2	2	2	2	0	1	2	2	1	2	3	0	3	3	1	2	1	0	1	1	2	1	0	0	0	0	1	3	2	2	0	0	3	4	0	5	3	2	7	3	0	10	1	1	13	0	0	7	3	0	3	5	1	0	0	2	9	0	0	1	0	1	3	0	1	1	0	14	0	2	0	0	1	6	1	0	1	2	0	2	0	2	0	2	1	1	4	4	0	4	0	1	2	0	1	0	4	4	0	0	0	1	2	4	0	3	0	0	0	0	1	1	1	2	0	0	1	2	0	0	0	1	0	1	2	1	0	1	3	0	2	2	2	2	0	0	0	3	1	1	1	0	3	6	0	4	3	2	2	1	1	1	2	0	1	1	0	1	0	2	1	1	0	1	0	0	6	3	2	0	7	1	0	0	0	0	0	1	0	0	0	1	0	0	4	1	1	0	4	0	0	1	0	0	0	0	5	2	0	1	3	1	1	2	8	1	2	1	1	3	0	0	2	0	1	0	1	1	0	1	0	1	3	0	0	2	1	0	2	2	2	1	5	0	0	1	0	1	0	0	1	0	0	0	0	6	0	4	2	1	0	0	0	6	0	0	1	0	0	0	2	0	3	0	0	0	1	1	0	3	0	0	0	0	1	0	3	2	0	0	0	0	1	0	1	1	1	1	0	1	1	4	0	1	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	1	3	2	1	0	1	0	0	0	9	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	2	0	1	1	7	0	0	2	0	1	0	2	1	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	4	2	0	0	3	0	0	2	3	0	1	0	0	2	0	2	0	2	0	1	2	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	6	1	1	0	0	0	0	1	0	1	1	0	0	3	0	0	0	0	1
Carly's Blog	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	5	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
